number,value,datetime_start,datetime_complete,duration,params_dimension,params_window_size,user_attrs_aupr_mean,user_attrs_aupr_std,user_attrs_auroc_mean,user_attrs_auroc_std,state
0,0.9889862817646602,2026-01-02 19:58:27.103289,2026-01-02 19:59:34.134066,0 days 00:01:07.030777,128,2,0.9900438135293204,0.0026566546649481964,0.98792875,0.003080928228635003,COMPLETE
1,0.9958307855520545,2026-01-02 19:59:34.134281,2026-01-02 20:00:57.921171,0 days 00:01:23.786890,128,8,0.996154071104109,0.002063998909774809,0.9955075000000001,0.002638866352242943,COMPLETE
2,0.9929772680063482,2026-01-02 20:00:57.921399,2026-01-02 20:02:11.962849,0 days 00:01:14.041450,64,8,0.9935657860126966,0.001218078242486791,0.9923887499999999,0.001570118427062117,COMPLETE
3,0.9934272128236936,2026-01-02 20:02:11.963067,2026-01-02 20:03:57.089272,0 days 00:01:45.126205,256,8,0.9939581756473872,0.003221736437026338,0.99289625,0.004256775114449906,COMPLETE
4,0.9955452615975598,2026-01-02 20:03:57.089517,2026-01-02 20:05:13.589367,0 days 00:01:16.499850,128,4,0.9959155231951197,0.0012924393032804635,0.995175,0.001693480144554386,COMPLETE
5,0.99465899094877,2026-01-02 20:05:13.589602,2026-01-02 20:06:23.859049,0 days 00:01:10.269447,64,4,0.9951292318975401,0.0016510264187959034,0.99418875,0.0021807588988698207,COMPLETE
6,0.9967043594705163,2026-01-02 20:06:23.859295,2026-01-02 20:08:10.586069,0 days 00:01:46.726774,256,8,0.9968905939410326,0.0014501359728927572,0.996518125,0.0016320237628478329,COMPLETE
7,0.9956967057733186,2026-01-02 20:08:10.586319,2026-01-02 20:09:19.244305,0 days 00:01:08.657986,128,2,0.996013411546637,0.0011027065567433853,0.9953800000000002,0.0014328751690220558,COMPLETE
8,0.9955241436229056,2026-01-02 20:09:19.244551,2026-01-02 20:10:52.156676,0 days 00:01:32.912125,256,4,0.9955645372458113,0.002031825503726817,0.99548375,0.0017119552053135466,COMPLETE
9,0.994759011304805,2026-01-02 20:10:52.156951,2026-01-02 20:12:15.364302,0 days 00:01:23.207351,128,8,0.9951242726096101,0.0018186246651322538,0.9943937500000001,0.002177039273876392,COMPLETE
10,0.9964503312117616,2026-01-02 20:12:15.364534,2026-01-02 20:13:58.554200,0 days 00:01:43.189666,256,8,0.9966756624235232,0.0004865149435398447,0.9962249999999999,0.0006406173780034092,COMPLETE
11,0.9949378708863962,2026-01-02 20:13:58.554439,2026-01-02 20:15:41.904684,0 days 00:01:43.350245,256,8,0.9953482417727925,0.0013035292767365567,0.9945274999999999,0.0016557692698561449,COMPLETE
12,0.9953999259699384,2026-01-02 20:15:41.904953,2026-01-02 20:17:23.793134,0 days 00:01:41.888181,256,8,0.9956723519398768,0.0018278749499468804,0.9951274999999999,0.00201448504586159,COMPLETE
13,0.9964509691994954,2026-01-02 20:17:23.793367,2026-01-02 20:19:08.026053,0 days 00:01:44.232686,256,8,0.9966881883989908,0.0007235094067159308,0.9962137500000001,0.0008345226929209385,COMPLETE
14,0.9932643720454564,2026-01-02 20:19:08.026301,2026-01-02 20:20:56.027985,0 days 00:01:48.001684,256,8,0.9938812440909128,0.0017748097925914382,0.9926475,0.0022718817915991607,COMPLETE
15,0.9922674534412946,2026-01-02 20:20:56.028223,2026-01-02 20:22:16.433837,0 days 00:01:20.405614,256,2,0.9929349068825892,0.002669996105039619,0.9916,0.003451030190392425,COMPLETE
16,0.9939993749382621,2026-01-02 20:22:16.434076,2026-01-02 20:23:31.899225,0 days 00:01:15.465149,64,8,0.9944624998765242,0.0025207246332981637,0.99353625,0.0030679426127292173,COMPLETE
17,0.9907127601409502,2026-01-02 20:23:31.899467,2026-01-02 20:25:18.422167,0 days 00:01:46.522700,256,8,0.9917417702819005,0.0025529656216660077,0.98968375,0.003418418859648392,COMPLETE
18,0.9950362224606342,2026-01-02 20:25:18.422401,2026-01-02 20:26:36.522734,0 days 00:01:18.100333,256,2,0.9954474449212686,0.001043155559725463,0.9946249999999999,0.0013733683500795001,COMPLETE
19,0.9945570664195988,2026-01-02 20:26:36.522962,2026-01-02 20:28:08.403065,0 days 00:01:31.880103,256,4,0.9948110078391975,0.0032407778938576253,0.9943031250000001,0.0034038512195746786,COMPLETE
